127.0.0.1 - - [27/Apr/2019:23:54:27 -0400] "GET / HTTP/1.1" 404 1074
0:0:0:0:0:0:0:1 - - [27/Apr/2019:23:54:28 -0400] "GET /Gallery/ HTTP/1.1" 200 8121
0:0:0:0:0:0:0:1 - - [27/Apr/2019:23:54:28 -0400] "GET /Gallery/IMG_6214.jpeg HTTP/1.1" 404 1047
0:0:0:0:0:0:0:1 - - [27/Apr/2019:23:54:36 -0400] "GET /Gallery/ HTTP/1.1" 200 8448
0:0:0:0:0:0:0:1 - - [27/Apr/2019:23:54:36 -0400] "GET /Gallery/IMG_6214.jpeg HTTP/1.1" 404 1047
0:0:0:0:0:0:0:1 - - [27/Apr/2019:23:54:38 -0400] "GET /favicon.ico HTTP/1.1" 404 1085
0:0:0:0:0:0:0:1 - - [27/Apr/2019:23:54:42 -0400] "POST /Gallery/admin HTTP/1.1" 200 4177
0:0:0:0:0:0:0:1 - - [27/Apr/2019:23:54:44 -0400] "GET /Gallery/Addproduct HTTP/1.1" 500 3783
0:0:0:0:0:0:0:1 - - [27/Apr/2019:23:56:18 -0400] "GET /Gallery/Addproduct HTTP/1.1" 200 9006
0:0:0:0:0:0:0:1 - - [27/Apr/2019:23:56:39 -0400] "POST /Gallery/Productreg HTTP/1.1" 200 5492
0:0:0:0:0:0:0:1 - - [27/Apr/2019:23:57:14 -0400] "GET /Gallery/Addproduct HTTP/1.1" 200 10296
0:0:0:0:0:0:0:1 - - [27/Apr/2019:23:57:29 -0400] "POST /Gallery/Productreg HTTP/1.1" 200 6011
0:0:0:0:0:0:0:1 - - [27/Apr/2019:23:57:42 -0400] "GET /Gallery/Addproduct HTTP/1.1" 200 10815
0:0:0:0:0:0:0:1 - - [27/Apr/2019:23:57:57 -0400] "POST /Gallery/Productreg HTTP/1.1" 200 6526
0:0:0:0:0:0:0:1 - - [27/Apr/2019:23:58:01 -0400] "GET /Gallery/Addproduct HTTP/1.1" 200 11330
